#Default

; ships.tbl
As a C class threat, Horus interceptors should be dealt with as quickly as possible."

413, "Sahr Corporation"

414, "Excellent fighter.  Small and hard to hit, with speed and maneuverability to match.  Good payload makes it the most versatile fighter in the PVN."

415, "The Thoth is the most dangerous ship to be created by the PVN.  Manufactured solely at the Altairian Ship Yards, the Thoth has only been produced in small numbers as of yet.  When the Altairian Yards defected to the Hammer of Light, the production of Thoths by the PVN dropped to nil.  The Thoth is now completely in the hands of the Hammer of Light.

What makes the Thoth so versatile is its small size, extremely high maneuverability, and advanced weapon systems.  In the hands of a skilled pilot, it is extremely difficult to hit.  The design for the Thoth was simultaneous with the design for the Ulysses, and these two ships were designed by some of the same technicians.  Thus they are quite a match for our Ulysses-class fighters.  This is why they are considered a B class threat.  Any non-registered Thoths should be destroyed immediately, and their presence reported upon completion of the mission."

416, "Bomber"

417, "Low maneuverability and low top speed.  However, carries good payload including space bombs.  Most commonly used in cruiser strikes."

418, "The Osiris has now become the standard bomber for use in PVN operations.  It has replaced the Amun, correcting many of the faults of its predecessor.  It is not quite as sturdy, but it has nearly the same weapons capacity, and is faster and more maneuverable.

The Osiris should be considered a C class threat to Fenris cruisers and a D class threat otherwise."

419, "Lowest maneuverability and extremely low top speed.  Moving target, but the heaviest bomber in the PVN.  Used against capital ships."

420, "The Amun is the Vasudans' heaviest bomber class ship.  It carries a massive payload and has been responsible for the destruction of at least three Orion-class destroyers in the past two years.  Fortunately, it is slow and has low maneuverability, making it an easy target for our fighters.  Fighter pilots should be wary of the two turrets on this ship: they are not to be ignored.

The Amun is considered a B class threat to all cruisers and capital ships.  They should be given top priority in target selection during escort operations."

421, "Hammer of Light"

422, "Vasudan-Shivan hybrid.  Fast and powerful."

423, "The PVB Sekhmet is a Hammer of Light ship that appears to be a fusion of Vasudan and Shivan technology.  The Hammer of Light claims that its design was adapted from a new class of Shivan bomber heretofore unencountered by either the GTA or the PVN.

Sporting four primary weapon hardpoints and three missile bays, the Sekhmet packs a massive punch.  Treat it as a class A threat to all allied capital ships."

424, "The Jackal is a simple training and reconnaissance drone used by the PVN.  As the Jackal could be mass-produced quickly and cheaply, it was not long before the Vasudans used it as a template for the PVF Anubis, a piloted variant well suited for use as a swarm fighter.

The Jackal has never been used offensively against the GTA and is classified as a non-threat."

425, "The Scarab is very similar to our Centaur, and we believe the Vasudans stole the design of this ship from us.  It is used for in-flight rearming of fighters and bombers.  In longer engagements, these ships can mean the difference between victory and defeat.  The major difference between this ship and the Centaur is that the Scarab is unmanned."

426, "The Isis transport is quite fast and maneuverable for a ship of its size.  Most often it is used for personnel transfer, although occasionally this class has been known to act as a repair ship or tugboat.  It is well protected with its turrets, and it is not unheard of for the PVN to use a wing of Isises to conduct an assault on a fortified position."

427, "The Bast freighter is unarmed, and considered a non-threat.  We believe that it is mainly used by Vasudan civilians, but we have seen some in front line operations.  It has very low target value, but should be destroyed, as any kind of resupply ship is a danger to the GTA."

428, "The standard Vasudan cargo container is only slightly different from our own.  The primary difference is that the Vasudan cargo containers are capable of atmospheric as well as deep-space deployment.  Vasudans used cargo containers well before we did, as they needed to transport raw materials from other systems to their own barren world.  Our standard cargo container was modelled after theirs, although ours is slightly superior in durability."

429, "With three turrets, the Ma'at is a hairy target for GTA pilots to attack.  However, it is slow enough that it can be destroyed with enough patience.  As always, supply ships for the PVN are considered to be valid targets."

430, "The VAC 4 series of cargo containers is much like its normal counterpart, except it has much more plating.  However, this container is no more dangerous than the standard version, and is nothing more than ML-16 bait without protection of some kind."

431, "The dreaded Satis freighter was thought to be a warship when it was first encountered in the Aldebaran Encounter.  It has five turrets and a strong hull, making it quite dangerous to the inexperienced pilot.  However, most experienced pilots in the GTA know enough to attack the Satis' main weakness: its weak plating around the turrets.  Disarming a Satis is most often the best way to destroy it.

While capturing supply ships is often an intelligent plan, the Satis has been considered dangerous enough to rank as a class C threat.  Treat it as one."

432, "The Aten-class cruiser, while far stronger than most of the Vasudans' warships, falls short as a attack cruiser.  It does not have the armor or the firepower to stand up to GTA weaponry.  With a cruiser speed of 25 m/s and only six weapon turrets, the Aten just cannot muster the kind of firepower needed to do real damage to targets of size.  Most GTA pilots have learned to exploit the primary weakness of the Aten: its extremely weak weapons subsystem.

The Aten-class cruiser is considered by the GTA to be a class B threat."

433, "The PVSC Imhotep is the standard Vasudan research vessel.  Like our GTSC Faustus, the Imhotep can fill a variety of scientific roles, including performing on-board research and conducting sensor surveys.  One major difference between the two classes is that the Imhotep carries a small podbay housing four remote research pods.  These pods are frequently launched to augment the Imhotep's on-board systems."

434, "This large probe is more of a fully-fledged research pod than a simple drone.  Designed to work in collaboration with an Imhotep science cruiser or as part of team of probes, it is capable of numerous roles including observation, experimentation, and scientific analysis.  It is often possible for a wing of probes to conduct minor missions independent of outside supervision, allowing Vasudan Command to reserve their Imhoteps for deployment where the personal presence of scientists is most needed."

435, "Where the Aten cruiser failed, the Typhon succeeded well past expectations.  The Typhon is an incredible work of engineering and the model of Vasudan technology.  When the first one was sighted at the Vega Engagement, it was laughed at by our technicians as a foolish display of non-utilitarian design.  The subsequent destruction of the GTD Eisenhower and the obliteration of the 4th Fleet changed their minds very quickly.  The Typhon should never be underestimated.  It wields massive weaponry, and has more armor plating than any Terran destroyer.  Its only known weakness is its turret armor, which is significant, but lower than expected.  In the two years since this ship first appeared, we have only managed to destroy two of them.

The Typhon is considered a class A threat to any ships within the same system.  Do not engage without backup."

436, "The gargantuan Karnak installation is the Vasudans' answer to the GTI Arcadia.  This monstrous facility bristles with dozens of turrets and can house up to two full squadrons of fighters.  Its primary purpose is to serve as a construction and maintenance yard for the Vasudan fleets.

Because of its enormous logistical and strategic value, the Karnak is considered a class A threat."

437, "The PVI Shah is nearly identical to our GTI Polaris, despite the fact that they were designed separately.  Like the Polaris, the Shah serves as a construction and maintenance facility."

438, "The Vasudan NavBuoy is widely used in both civilian and military fields.  It stores precalculated jump coordinates and other navigational data for use by Vasudan convoys, and it is also capable of acting as a communications relay."

439, "The Ankh is the standard Vasudan sentry gun.  Its most common usage is guarding supply depots.  However, since the development of the Anubis, its usage has dropped off significantly."

440, "The Ra has been used by Vasudans since our first encounter with them.  Every Vasudan capital ship has a few of these lifeboats."

441, "The Shivan Dragon is easily the most impressive fightercraft we have yet seen.  Its maneuverability is unmatched, and it has quite a few other advantages, including a good top speed, powerful afterburners, and strong shields.  It is the only Shivan fighter we have been able to study up close, and we have learned a great deal about Shivan engineering from it.

It seems that the Shivan shield systems are extremely strong, but their hulls are far weaker than our own.  They also rely on primary weapons far more than secondaries, as evidenced by the Dragon's small missile capacity.

The GTA considers the Dragon as a class A threat."

442, "Captured Shivan fighter, modified for Terran pilots."

443, "The Shivan Dragon is easily the most impressive fightercraft we have yet seen.  Its maneuverability is unmatched, and it has quite a few other advantages, including a good top speed, powerful afterburners, and strong shields.  It is the only Shivan fighter we have been able to study up close, and we have learned a great deal about Shivan engineering from it.

It seems that the Shivan shield systems are extremely strong, but their hulls are far weaker than our own.  They also rely on primary weapons far more than secondaries, as evidenced by the Dragon's small missile capacity."

444, "The Basilisk seems to be a Shivan heavy attack fighter.  It is not as maneuverable as other Shivan fighters, but it packs quite a punch, and it is very resistant to our weaponry.  Most often they have been used in attacking our supply convoys and transports.

Treat the Basilisk as a class C threat."

445, "We believe that the Manticore is a Shivan interceptor.  It has a very high top speed, and its maneuverability is quite good.  However, its shield system isn't strong enough to withstand constant fighting for long, which leads us to believe the Manticore's primary purpose is to destroy enemy bombers.

The Manticore ranks as a class B threat."

446, "We originally thought the Scorpion was the Shivans' best fighter.  However, we now believe that the Scorpion is nothing more than a Shivan scout ship.  Their vast numbers and seeming unimportance to the Shivan war effort leads us to this belief.  Regardless of its purpose, the Scorpion is highly maneuverable, fast, and difficult to destroy.  It can also do damage equivalent to our space superiority fighters.

In the event that you encounter Scorpions, regard them as a class C threat."

447, "The first encounter with the SF Gorgon was made by the GTD Saratoga in the Ikeya system.  We are uncertain if this is a new Shivan design or if the Shivans have simply held this particular class of ship back for the majority of the war.  The ship's unusual design not only provides it with exceptional maneuverability, but also allows it to generate an extremely powerful shield.  So far these ships have only been sighted leading wings of lesser fighters, but there have been reports of entire wings of Gorgons in larger forces.

Little else is known about the Gorgon.  It should be considered a class B threat when acting as a wing leader, but a full wing of Gorgons is to be treated as a class A threat to all allied vessels."

448, "The Shaitan bomber is only slightly superior to our own bombers - its shielding is better, but its capacity seems to be far worse.  Perhaps the Shivans were confident that they would only need one payload to destroy a target.

We consider the Shaitan to be a class C threat."

449, "The Nephilim-class bomber is the most alien of the Shivan ships.  We are still unsure as to why the Shivans chose this odd shape for arguably their most powerful attack craft.  However, with four primary cannons and two turrets, as well as a massive payload, the Nephilim is undoubtedly a serious threat to the GTA.  We have already lost two Orion class destroyers to wings of Nephilims.  Unless we learn a weakness soon, we will most likely lose two more.

The Nephilim has been designated a class A threat to GTA destroyers and cruisers.  In unpopulated systems, it is to be considered a class B threat."

450, "The new Seraphim class bomber is the Shivan's latest threat.  It is three times larger than a Nephilim, and carries a massive payload at least 150% the size of the Nephilim.  With strong hulls and an almost impenetrable shield system, the Seraphim is easily the most dangerous bomber we have yet encountered.

The Seraphim has been designated a class A threat to GTA destroyers and cruisers.  In unpopulated systems, it is to be considered a class B threat."

451, "The SB Nahema has never actually been encountered by either GTA or PVN forces, as far as we can determine.  What little intelligence we have on this bomber comes from our interrogations of HOL prisoners and is strictly classified by GTI.  We do know that the Nahema was the base from which the HOL constructed the PVB Sekhmet, their Vasudan-Shivan hybrid prototype bomber.  How the HOL managed to acquire scans of the Nahema in the first place is unknown."

452, "The Azrael is most likely a Shivan transport.  While we are not completely sure of its uses, we do know that it can house many Shivans.  It is not very heavily armored, and its weaponry is not too strong.  This makes the Azrael the most common target for capture attempts."

453, "The Mephisto freighter behaves much like one of our own, but it is far more powerful and dangerous.  Very little data is available on this ship class."

454, "We believe that the Shivans use cargo containers such as these as storage depots.  We have yet to see a Shivan land on a planet.  This leads us to believe that the Shivans plan on keeping all of their materials and resources in deep space."

455, "Almost no data is available on the Asmodeus freighter.  We are aware that it has a strong hull and four turrets.  Any further data on this ship should be immediately delivered to Terran Intelligence."

