#Default

; weapons.tbl
2868, "That's a confirmed kill!"

2869, "Show us how it's done, sir!"

2870, "You got em!"

2871, "Bandit down!"

2872, "Formidable!"

2873, "You fight like a Vasudan!"

2874, "Missile banks depleted! Calling in support!"

2875, "I need to rearm!"

2876, "Support, need more ordnance here!"

2877, "Secondary banks empty! Calling in support!"

2878, "Ordnance depleted!"

2879, "I must rearm. Requesting support."

2880, "Secondaries depleted. Require support."

2881, "Systems failing! Get support here pronto!"

2882, "Command, systems are blown! I need a repair!"

2883, "Subsystems are down! I need support here!"

2884, "Disengaging now for repair!"

2885, "My systems are going berserk! Calling in support!"

2886, "Requesting subsystem repair."

2887, "Subsystems incapacitated!"

2888, "You know where you're going, sir?"

2889, "With all due respect, sir, we seem to be off course."

2890, "Let's focus on our objectives, sir."

2891, "What about our mission, sir?"

2892, "We have orders to follow, sir."

2893, "You are deserting the field of engagement, Terran."

2894, "You are violating our mission directives, Terran."

2895, "Sorry it had to end like this, sir!"

2896, "No mercy for traitors in this unit!"

2897, "See you in hell, pilot!"

2898, "You just had to keep firing, didn't you?"

2899, "That's what you get when you don't play nice."

2900, "No refuge for traitors!"

2901, "You disgrace your species, Terran."

2902, "All units, terminate the traitor!"

2903, "Affirmative."

2904, "Roger that."

2905, "I'm on it."

2906, "Yes, sir!"

2907, "I copy."

2908, "Acknowledged."

2909, "By your command."

2910, "I copy, pilot. Support ship in transit."

2911, "Acknowledged. Standby to rearm."

2912, "Stand by, pilot. We're on our way."

2913, "Support request confirmed. Please stand by."

2914, "Deploying support ship now. Please stand by."

2915, "Rearming complete, sir. You're good to go."

2916, "Rearming procedure complete."

2917, "Rearming sequence aborted."

2918, "Rearming procedure terminated."

2919, "Support ship is down!"

2920, "No reinforcements are available, pilot. You're on your own."

2921, "Invalid target! Hold your fire! "

2922, "Your instructor is not a valid target, pilot."

2923, "Desertion is grounds for a court martial, pilot. Return to the battle."

2924, "Pilot, this is your final warning. Complete your mission objectives."

2925, "AWACS has sustained moderate damage! Please assist!"

2926, "AWACS hull integrity has fallen below critical! Request immediate fighter cover!"

2927, "Command, AWACS is under attack! Request fighter cover!"

2928, "Mayday! AWACS hull failure imminent! Please assist!"

; rank.tbl

2929, "You have received your commission in the GTVA. Congratulations, Ensign."

2930, "Because of your achievements, character, and potential, you are duly awarded the rank of Lieutenant Junior Grade."

2931, "After reviewing your service record and the recommendations of your superior officers, Allied Command has authorized your promotion. Congratulations, Lieutenant."

2932, "For your excellent record of service, leadership, and conduct under fire, you have attained the rank of Lieutenant Commander."

2933, "Because your achievements distinguish you as an officer of the highest caliber, you have been promoted to the rank of Commander."

2934, "For your brilliance as a pilot, tactician, and leader, Allied Command confers upon you the rank of Captain."

2935, "Captain, your long and illustrious record distinguishes you as a leader of integrity, courage, and wisdom. You are duly promoted to the rank of Commodore."

2936, "On behalf of the GTVA Security Council and General Assembly, it is my honor to confer upon you the prestigious rank of Rear Admiral. Congratulations. "

2937, "Your career stands as a shining example of our ideals and values, and few officers have rendered greater service to the Alliance. On behalf of the GTVA Security Council and General Assembly, I hereby confer upon you the prestigious rank of Vice Admiral."

2938, "Congratulations. You have earned your place in the highest echelon of allied leadership. Your character, courage, and genius are an inspiration to us all. On behalf of the GTVA Security Council and General Assembly, I hereby confer upon you the prestigious rank of Admiral. Now go read a book."

; ships.tbl

2939, "Space Superiority"

2940, "Excellent"

2941, "Light"

2942, "Triton / Mekhu"

2943, " "

2944, "Affectionately nicknamed 'The Bat' by its pilots, the GTF Ulysses is a well-designed craft that has had a far longer useful life than its engineers ever imagined. Developed jointly by Terran and Vasudan contractors, the Ulysses was first deployed near the end of the Great War. Its excellent maneuverability and high top speed give it an agility that pilots love, but at a cost of thin armor and a small secondary weapon loadout. The Ulysses is a better choice for offensive missions than defensive ones."

2945, "Heavy Assault"

2946, "Poor"

2947, "Heavy"

2948, "Han-Ronald Corp"

2949, " "

2950, "The old workhorse of the Terran fleet, the Hercules is a beloved but aging design. It was the mainstay of the Terran forces during the Great War, but it is slowly being phased out of the modern fleet. As they are replaced by Herc IIs, Myrmidons, and other recent designs, Hercules fighters are increasingly relegated to training and guard duties far from the front lines. Pilots who've flown Hercs for years love the ship's heavy armor and firepower and have learned to compensate for its low speed and poor maneuverability. The old Hercs are still widely used by NTF forces."

2951, "Heavy Assault"

2952, "Average"

2953, "Heavy"

2954, "RNI Systems"

2955, " "

2956, "The GTF Hercules Mark II is the next generation of Terran heavy assault fighter. Introduced during the Great War, the original Herc's balance of firepower and maneuverability made it the most versatile strike fighter in the fleet. Some military historians have claimed the Hercules won the Great War, citing its deployment in key battles near the end of the Shivan conflict. Implementing recent advances in fusion drive technology, the Mark II improves the assault fighter's speed and maneuverability without sacrificing loadout capacity."

2957, "Strategic Assault"

2958, "Poor"

2959, "Ultra Heavy"

2960, "Nankam Aeronautical"

2961, " "

2962, "The GTF Ares class of fighters is a radical upgrade of the Hercules II fighter. The power plant has been completely replaced with the newer, more powerful Nankam NA-27f model. Depleted uranium shielding has been added atop critical subsystems, making the Ares harder to incapacitate. Two primary weapon banks have been added, for greater firepower than the Herc II. This greater punch and protection come at a cost, however, as the Ares handles like a potato."

2963, "Heavy Assault"

2964, "Average"

2965, "Heavy"

2966, "Triton Dynamics"

2967, " "

2968, "GTF Erinyes craft are fresh off the drawing boards of Triton Dynamics. Though fast and heavily armored, their main attraction is firepower. With eight primary banks and two secondary weapon bays, Erinyes are at the top of the combat craft food chain. Both sets of weapon banks have been designed to maximize compatibility with the greatest possible number of weapon system. Erinyes-class ships are being evenly distributed through the GTVA fleet, but only elite pilots are currently authorized to fly them."

2969, "Recon"

2970, "Good"

2971, "Light"

2972, "Han-Ronald Corp"

2973, " "

2974, "The GTF Loki is designated as a fighter, but it's more of a heavy reconnaissance craft. The Loki's micro-roughened hull and shielded exhaust chamber give it an extremely reduced profile to detection sensors. This makes it ideal for reconnaissance and infiltration missions that rely on stealth rather than firepower. Lacking the weaponry and armor to survive prolonged battles, the Loki can usually stay alive long enough for its high maneuverability and speed to discourage pursuers. Lokis are widely used by NTF forces."

2975, "Stealth Recon"

2976, "Excellent"

2977, "Light"

2978, "Nankam Aeronautical"

2979, " "

2980, "The Pegasus is used almost exclusively for reconnaissance missions. It's the fastest, most maneuverable ship in the Terran arsenal. The craft's contours and hull materials were carefully designed to minimize its profile to detection sensors. It is woefully armored and packs only minimal weaponry, making it a death box in a firefight. Pegasus pilots are a special breed of daredevils who pride themselves on getting into and out of situations that would be the death of other pilots, all without firing a shot."

2981, "Interceptor"

2982, "High"

2983, "Average"

2984, "Nankam Aeronautical"

2985, " "

2986, "The GTF Perseus is the newest fighter in the GTVA's arsenal. Slated to replace the aging Valkyrie as the Alliance's primary interceptor, the Perseus's high max speed and maneuverability make it ideal to hunt and destroy enemy bombers. Perseus fighters have been assigned to the 3rd Battle Group on a trial basis, with wide deployment expected after the OpEval period. Primary weapons include the Subach HL-7 and Prometheus cannon, with secondary loads of Harpoon and Hornet missiles. Preliminary results have shown the Perseus to be a superb fighter."

2987, "Advanced Space Superiority"

2988, "Average"

2989, "Average"

2990, "RNI Systems"

2991, " "

2992, "RNI Systems' GTF Myrmidon replaces the Ulysses as the Alliance's primary space superiority fighter. The Myrmidon has received high marks for speed, maneuverability, armor, and loadout. An ultra-efficient hull configuration provides space for three secondary weapon systems, a first for Terran-Vasudan fighters. This versatility enables Myrmidon squadrons to fulfill a range of combat roles, from light assault to heavy reconnaissance. In the Deneb system, the 53rd Hammerheads of the GTD Aquitaine have demonstrated the effectiveness of the Myrmidon against NTF forces."

2993, "Advanced Space Superiority"

2994, "Excellent"

2995, "Very Heavy"

2996, "Triton Dynamics"

2997, " "

2998, "The SF Mara class of Shivan fighters was first encountered by the GTC Vigilant while patrolling the Gamma Draconis jump node in the Capella system. All other information concerning the Mara is classified level Psi."

2999, "Medium Bomber"

3000, "Poor"

3001, "Medium"

3002, "Han-Ronald Corp."

3003, " "

3004, "The GTB Artemis is the most agile bomber in the GTVA fleet, which makes it ideal for quick-hitting missions against warships and other slow targets. Of the same technological generation as the Boanerges class, the Artemis is less heavily armed and carries a lighter weapon payload, but it is significantly more maneuverable. While the Boanerges can inflict more damage, the Artemis can undertake (and return from) missions the slower Boanerges would have no hope of surviving. All Artemis-class bombers in the GVTA fleet are currently serving with the 2nd and 3rd Battle Groups."

3005, "Medium Bomber"

3006, "Average"

3007, "Medium"

3008, "Han-Ronald Corp."

3009, " "

3010, "The GTB Artemis D.H. is an experimental variant of the standard Artemis class. The most notable change is that the Artemis's factory-issued Han-Ronald engines have been replaced by the same Nankam NA-27f powerplant now found in the GTF Ares fightercraft. The D.H. variant is faster and more maneuverable than the standard Artemis bomber, at no cost to armor or armament. During the OpEval period, Artemis D.H. bombers are being deployed in only select squadrons in different theatres of the war. If the evaluation trials go well, wider deployment of the Artemis D.H. class is expected."

3011, "Heavy Bomber"

3012, "Poor"

3013, "Heavy"

3014, "Han-Ronald Corp."

3015, " "

3016, "The GTB Medusa is the workhorse of the GTVA's bomber fleet. Its large bomb capacity enables it to take out cruiser-class warships, while its strong shielding ensures it can get close enough to deliver the punch. The first bomber to carry the potent Cyclops bomb, the Medusa is sure to be one of the highlights of a bomber pilot's career."

3017, "Assault Bomber"

3018, "Very Poor"

3019, "Very Heavy"

3020, "Han-Ronald Corp."

3021, " "

3022, "The GTB Ursa is the slowest bomber in the GTVA fleet. What it lacks in speed, however, it more than makes up with its massive payload. The Ursa was the first GTVA bomber designed specifically to destroy capital ships. With a rack of Helios bombs, in addition to a standard complement of Hornet missiles and Prometheus cannon, a squadron of Ursas can take out a destroyer. Ursas have the highest shielding of any bomber, along with a GTVI-designed hyper-dense hull. These help ensure that the Ursa gets close enough to deliver its payload and possibly even survive the escape."

3023, "Strike Bomber"

3024, "Average"

3025, "Medium"

3026, "Dynamic Metamer"

3027, " "

3028, "The GTB Zeus is the fastest of all currently active GTVA bombers. It replaced the fleet's old Athena bombers as they were mothballed during the years following the Great War. Though slightly slower than the Athena, the Zeus's heavier armor and armament give it a much better battlezone survivability rate. Many of the Zeus wings in the GTVA fleet defected to the NTF during the initial stages of the rebellion."

3029, "Heavy Bomber"

3030, "Very Poor"

3031, "Very Heavy"

3032, "RNI Systems"

3033, " "

3034, "The new GTB Boanerges has been assigned to elite bomber squadrons in the 3rd, 4th, and 5th Terran battle groups. The challenge of maintaining an aging fleet has motivated the GTVA to develop a new generation of ships able to withstand long-term abuse in the field. By maximizing shielding and payload (while offering enough maneuverability to make it a viable tactical unit), the Boanerges promises to remain in service for decades to come. One test pilot observed that the Boanerges handles better than any other bomber and has enough firepower to make it a formidable anti-capship weapon."

3035, "The GTDr Amazon Model IV unmanned combat drone was once used for live basic combat training. They weren't tough, they weren't smart, and they weren't well armored. But they blew up very nicely. These drones are no longer manufactured, but their virtual counterparts are used in the Training Simulator Module (TSM) series. The Model IV is every fighter pilot's first TSM opponent, the first mobile foe he faces during simulator courses. If you can't handle an Amazon during training, it's time to reconsider your choice of careers."

3036, "The GTDr Amazon Advanced Model VII was an unmanned combat drone used for advanced flight combat training. It was larger, smarter, and more heavily armored than the basic Amazon drone. As with the basic Amazon, these are now encountered only in the virtual battlefields of the TSM training module series. The Model VII is used to simulate assaults on enemy capital ships, training fighter and bomber pilots to target turrets and ship subsystems. Command has found that virtual training against Model VIIs increases the survival rate of pilots by 37% when attacking capital ships."

3037, "The GTS Hygeia is the fleet's newest Terran support ship. It is fast and maneuverable, a necessity when trying to dock with fighters in the heat of battle. Triton Dynamics designed the Hygeia class with huge cargo bays for munitions storage, plus the latest magnetic-stasis delivery system for quickly re-supplying combat craft with missiles and bombs. The Hygeia's repair facilities are driven by neural-net AI, for ultra-fast system diagnostics and repair. The high number of warheads carried by the Hygeia makes it a dangerous ship to be near when it blows up."

3038, "The GTFr Triton hauls almost twice the tonnage of the Poseidon-class freighters that have served the Alliance since the Great War. The ability to distribute supplies and munitions is vital in any theater of operations. With the Triton, battle groups can keep their forces well-equipped, even if dispersed over multiple systems. The Triton not only has the ability to dock with and haul TAC units, but it also has an internal cargo bay for ship-to-ship transfers. The GTVA expects the Triton to reduce its reliance on deep-space depots, which are vulnerable to attack and sabotage."

3039, "TC-TRI containers are made by Triton Dynamics specifically to house fragile replacement parts for TD vessels that must be repaired in the field. Once these parts have been placed in storage at a repair facility, the GTVA reuses the containers in many capacities."

3040, "The GTFr Poseidon is the smaller of the two standard Terran military freighters. Though it carries only half as much cargo as the Triton, the Poseidon is more often chosen for dangerous missions. Its greater speed gives it better survivability on the front lines, as does the fact that it has four weapon turrets, compared to the Triton's two. When Allied Command sends supplies and munitions that have to get through, a Poseidon is usually chosen to transport them."

3041, "
The TC 2 is the standard issue cargo container in the GTVA for deep space cargo transport. Its thin hull will preserve Terran-standard atmospheric conditions inside, as long as the hull seal has not been comprised by weapon fire or collision. TC 2 containers are cheap to manufacture and heavily used everywhere but the front lines (where the armored TAC 1 containers are employed, when available)."

3042, "
The TSC 2 container is armored, providing more protection for its cargo than does the TC 2. This armor serves mainly to protect against hull breaches due to collisions, as it's not thick enough to provide much protection against enemy attacks. TSC 2s are used in busy supply depots in which collision damage is a hazard."

3043, "The TAC 1 is a very heavily armored type of Terran cargo container. It is most often used to hold delicate or valuable cargoes. TAC 1s are generally found in front-line operations in which protection from enemy attacks is a primary consideration."

3044, "The TTC 1 is a civilian cargo container modified for military use. It is a dense-hulled container originally designed to protect fragile technical and scientific equipment. The same protection is now used to guard against collision and attack damage to replacement ship subsystems and other electronic equipment intended for combat spacecraft."

3045, "The GTC Fenris class is the aging stalwart among the Alliance's warships. Before the Great War, the Fenris was Terran Command's only class of cruisers. During the war, Terran Command decided to build a second line of cruisers, the Leviathans, to free the Fenris from escort and guard duties. Fenris cruisers have fought in virtually every theatre of operation. These fast, versatile cruisers pack enough punch in their 260-meter-long hulls to go toe-to-toe with any enemy cruiser. The Fenris's speed and maneuverability make it a good choice for strike missions."

3046, "Terrans developed the GTM Hippocrates early in the post-war Reconstruction period. With the outbreak of the NTF insurgency, the GTVA has once again called the Hippocrates into active military service. Its on-board facilities provide state-of-the-art medical care to thousands of patients. Hippocrates also help transport refugees out of contested systems into the safety of Allied-controlled regions. The unusual design of the Hippocrates enables its crew to isolate sections of the ship quickly in the event of quarantine or hull breach."

3047, "Early in the Great War, Han-Ronald engineers designed and built the Leviathan class of cruisers. The Leviathan is much heavier armed and armored than the Fenris, but also much slower and less maneuverable. Leviathan cruisers are used to guard critical installations, such as permanent jump nodes, deep-space factories, and gas-mining operations, where firepower is king and speed is of little importance. They're also well-suited to escorting slow-moving freighters or transports. The Fenris is good for fast-moving operations, but when you need some muscle, call in a Leviathan."

3048, "The GTSC Faustus is primarily a class of civilian research vessels. During times of peace, they serve as mobile laboratories for scientists in many disciplines. During wartime, however, Faustus vessels are commandeered by the military, mostly for weapons research. It was on a Faustus ship, during the Great War, that Shivan shield technology was first reverse-engineered from a captured Shivan fighter. Faustus vessels have poor armor and only a few weak turrets for defense. Only desperate circumstances find a Faustus anywhere near the front lines."

3049, "When a fighter pilot sees a ship of the GTG Zephyrus class, one thought flashes through his or her mind: 'Thank God I don't have to fly that tub!' The Zephyrus is a gas miner designed to harvest the gases of interstellar nebulae. It's the largest non-combatant ship in the GTVA fleet. The Zephyrus's thin armor, weak weaponry, and poor speed give it a very low survival rate in combat, so these ships stay well back from the front lines. Despite these weaknesses, the Zephyrus plays a critical role in the operation of the GTVA fleet. The deuterium gathered by Zephyrus ships powers the fleet's fusion drives."

3050, "Ships of the GTA Charybdis class have been packed with the latest tachyon-enabled AWACS equipment from GTVI labs. Each GTVA battle group has a squadron of Charybdis-class ships assigned to it. These ships double the range of the group's standard detection arrays. Charybdis ships' thin armor and weak defenses make them easy victims for enemy bombers. They have proven indispensable, however, in forays into the nebula beyond the Knossos portal. Charybdis-class ships are very vulnerable in this environment, as witnessed by the recent loss of the GTA Panopticon from the 3rd Battle Group."

3051, "For over 30 years, the GTD Orion class was the largest ship in the Terran-Vasudan armada. Over two kilometers in length, bristling with dozens of death-dealing turrets, the Orion is as awesome in repose as it is in battle. All GVTA Orions have been retrofitted with the latest anti-warship beam weapons, as well as flak and AAA turrets for dealing with fighters and bombers. The Orion's cavernous hanger bays easily accommodate more than two dozen fighter or bomber wings."

3052, "The new GTD Hecate class of destroyers is replacing the Orion class as the flagship of Terran battle groups. More heavily armed than the Orion, the Hecate also carries over 150 combat spacecraft and a crew of 10,000. The GTD Aquitaine is a superb example of this new ship class, serving as the flagship of the Capella-based 3rd Fleet."

3053, "The GTD Hades was a fusion of Terran and Shivan military technologies. It was constructed by Galactic Terran Intelligence (GTI), a rogue branch of the GTA. In 2335, GTI leaders sought to overthrow the provisional GTA government established in Delta Serpentis. After the defeat of the GTI and the destruction of the Hades, the GTA classified the details of this research at level Omega. There are rumors that the Alliance has attempted to reconstruct the Hades to learn more about the GTI's activities. These reports have yet to be confirmed by government sources."

3054, "The GTI Arcadia is a multi-purpose installation that has served the Terran fleet since the days of the Great War. Almost every major star system is host to at least one Arcadia, which is often used as a center for trade and communications. Home to scores of small ships, including repair vessels, fighters, and transports, an Arcadia installation is always a hub of intrasystem and interstellar traffic. An Arcadia is not an easy target for hostile forces, as it combines the firepower of over 20 weapon turrets with the ability to launch up to ten wings of fighters from its fighterbay."

3055, "The GTVA Colossus resulted from an endeavor unprecedented in Terran or Vasudan history. This 6-kilometer-long behemoth is the result of 20 years of joint effort from dozens of contractors of both races. The Colossus is the most powerful space-faring warship ever made, bristling with over 80 weapon turrets. It also houses 60 fighter and bomber wings and requires a crew of over 30,000. The firepower of the Colossus is greater than that of most GTVA battle groups."

3056, "Deimos-class corvettes, such as the GTCv Actium and the GTCv Lysander, are the newest addition to the Terran fleet. These sleek, ultra-modern warships are the products of a new era of ship design, maximizing maneuverability and firepower. Their hulls are strengthened with collapsed-core molybdenum sheathing for better protection against beam fire, and their Vasudan-designed reactor core provides more energy per ton than any other allied ship class. As the Leviathan and Fenris cruisers of the Great War are gradually phased out, these corvettes will become the foundation of tomorrow's fleet."

3057, "The GTC Aeolus is the first cruiser class ever produced by the RNI shipyards orbiting Laramis II. Only two dozen of these cruisers were put into service in GTVA fleets, with production ending in 2365. Allied Command assigns Aeolus-class ships primarily to guard slow-moving convoys against fighter and bomber wings, as these cruisers are severely out-gunned by most capital ships in service today. Their flak and AAA turrets serve as marvelous deterrents to smaller craft, however."

3058, "The Iceni is the NTF command frigate, built under Admiral Bosch's direction at the Freedom shipyards in Polaris, captured by the Neo-Terran Front at the start of their rebellion.  With over two dozen turrets and a sheath of ultra-dense depleted uranium shielding around its subsystems, the Iceni is an extremely tough nut to crack. With Bosch on board, providing tactical guidance, the Iceni is the equal of any GTVA battle group. Intelligence believes the ship was custom-designed for a secret NTF project."

3059, "Hidden NTF asteroid base."

3060, "The GTT Elysium class of transports has been in service for over 40 years. Its mission hasn't changed from the time of the Great War - to transport civilian and military personnel from one star system to another. The Elysium is very poorly armed, with a single Subach HL-7 cannon, and also suffers from thin armor plating. Only desperate circumstances find Elysiums anywhere near the front lines. Assaults and dangerous transport missions handled almost exclusively by the much tougher GTT Argo class."

3061, "The GTT Argo has become the standard military transport vehicle for the Terran fleet. Argos sometimes carry new weapon and combat craft prototypes to and from testing grounds or to front-line deployment positions. Military VIPs occasionally commandeer Argos to travel from star system to star system in some semblance of comfort. Argos are most often used as assault transports, carrying squads of Marines through heavy flak to board enemy vessels that Command has decided to capture rather than destroy."

3062, "The GTI Ganymede is the Alliance's newest repair and resupply facility. Ganymede installations are currently deployed behind the front lines in the Vega, Vasuda, and Capella systems. Each Ganymede can service up to five warships simultaneously. Repairs of any type or degree can be made here, on any ship in the GTVA fleet. Ganymedes also provide retrofitting services, enabling Allied Command to extend the lifetime of aging ships by upgrading weaponry, systems, and engines."

3063, "The subspace portal was discovered in the Gamma Draconis system in 2367. The interlocking circular motions of its components apparently create a subspace vortex that connects the Gamma Draconis system to another part of our universe.  Dr. Hargrove's team continues to study the device, though their findings are highly classified."

3064, "The GTSG Watchdog was the first generation of Terran sentry platform, the distant precursor to the Cerberus and Alastor platforms. Seriously underpowered by today's standards, the Watchdog also suffers from paper-thin armor. Many Watchdogs are Great War relics left active and in place because it wasn't worthwhile removing or deactivating them. The NTF occasionally uses stolen Watchdogs to guard supply depots or minor installations."

3065, "Until the advent of the GTSG Alastor, the GTSG Cerberus was the most advanced sentry gun emplacement available to Terran forces. They were vital to Terran defenses during the Great War, racking up over 100 kills of Vasudan and Shivan combat craft. But the current conflict has found them primarily in back-line roles, guarding installations deemed relatively safe from attack. With no mobility and only two Subach HL-7 turrets, they serve as more of a distraction than a viable threat to modern combat craft."

