#Default

; cutscenes.tbl
313, "Lieutenant"

314, "Per GTAR 64-2a you are hereby promoted to the rank of Lieutenant.  Congratulations."

315, "Lieutenant Commander"

316, "Congratulations.  Your achievements have been noted and you are duly awarded the rank of Lieutenant Commander."

317, "Commander"

318, "Because of your consistent sense of duty and obvious skill as a leader, you have been promoted to the rank of Commander."

319, "Captain"

320, "For displaying a commanding nature and the ability to lead others you are hereby promoted to Captain.  Congratulations!"

321, "Commodore"

322, "For outstanding service through the war, leading many successful missions, and promoting a sense of honor and pride in the Alliance you have been promoted to the rank of Commodore."

323, "Rear Admiral"

324, "We aren't sure how you've done it, but you are hereby promoted to the prestigious rank of Rear Admiral.  (We think you cheated.)"

325, "Vice Admiral"

326, "You really must have cheated to get this rank!  Do you want to sit behind a desk or something?  That is what Vice Admirals do."

327, "Admiral"

328, "You really have got to stop cheating.  This could become a natural thing for you... and that would be bad.  Go on Admiral Cheater, I think you have to perform some ceremony or inspection or something."

; ships.tbl

329, "Advanced Space Superiority"

330, "Excellent"

331, "Light"

332, "Triton Dynamics"

333, "Excellent all-around fighter.  Offers superior maneuverability and a high top speed.  Smaller missile payload than other GTA fighters."

334, "Developed in a joint operation by the Vasudan and Terran governments, the GTF Ulysses is an excellent all-around fighter.  It offers superior maneuverability and a high top speed."

335, "Space Superiority"

336, "Fair"

337, "Medium"

338, "Han-Ronald Corporation"

339, "Original space superiority fighter of the GTA fleet.  Highly versatile, it often doubles as an assault fighter.  Low weapon compatibility."

340, "The Apollo is the most common GTA fighter.  It is highly versatile and can perform multiple roles, including space superiority, interception and assault."

341, "Interceptor"

342, "Good"

343, "High speed recon and bomber-intercept fighter.  Offers high weapon compatibility and payload."

344, "Using the old GTF Angel scout fighter as a template, the GTA created the Valkyrie interceptor fighter.  It has two additional engines, as well as an additional set of primary hardpoints.  This makes the Valkyrie the best bomber interceptor in the fleet.  Its speed is unmatched in the GTA, and its maneuverability is above average.  Its only drawbacks are a small secondary payload and a weak hull."

345, "Heavy Assault"

346, "Average"

347, "Low max velocity offset by its tremendous offensive capabilities.  High weapon capacity."

348, "The Hercules is the slowest and most unmanageable fighter in the fleet.  This is offset, however, by its overpowering weaponry and shielding.  It carries six primary weapons, as well as two full secondary banks.  This heavy assault fighter is best suited for small target attacks and bomber escort."

349, "Recon"

350, "High"

351, "Low"

352, "High max velocity offset by its tiny payload.  High weapon compatibility."

353, "Designed by GTI engineers, the Loki is undoubtedly the best reconnaissance craft in Terran or Vasudan service.  Its hull shape and shielded reactor chamber lends itself to providing a low sensor profile, yet it is capable of very high speed maneuvers.  Its relatively light armament and low armor rating make it unsuitable for extended firefights, however."

354, "Low offensive capability.  Best used in swarm situations."

355, "The old Angel scout fighter is second only to the Apollo in length of service and number of kills.  Developed as an interceptor/reconnaissance fighter in the first years of the Terran-Vasudan War, it also made a formidable match for the PVF Anubis and other early Vasudan fighters.  Upgrades to the Apollo have made the Angel largely obsolete, and the original design has since been retired in favor of its successor, the GTF Valkyrie."

356, "Light Bomber"

357, "Dynamic Metamer"

358, "Excellent for hit-and-run bombing.  Good speed for its size, with a high capacity afterburner reserve."

359, "The smallest bomber in the fleet, the Athena has oftentimes been mistaken for a fighter.  However, one should not be fooled by its small size.  The Athena can carry light bombs and most missiles.  It also has the ability to dogfight well.  Its strong shielding and hull make it the favored ''Lightning Bomber'' of the GTA."

360, "Strike Bomber"

361, "Poor"

362, "Excellent for hit-and-run bombing.  Can carry Tsunamis.  Good afterburner supply."

363, "Another product of GTI R&D, the Zeus strike bomber is a worthy successor to the Athena.  Its balanced design and increased reactor capacity give it remarkable speed for a bomber, yet it still remains capable of carrying the powerful Tsunami bombs.  These features will make the Zeus a versatile and effective weapon against capital ships."

364, "Heavy Bomber"

365, "Heavy"

366, "Suitable for any size target.  Carries most missile types, but few cannons.  Armed with defensive turret, but still requires escort."

367, "The Medusa is the standard attack bomber in the GTA.  Its strong shielding and large secondary capacity make it the favored attack craft against cruiser class targets.  As the first bomber to carry the Tsunami bomb, the Medusa is considered the staple of any bomber pilot's career."

368, "Assault Bomber"

369, "Very Poor"

370, "Designed to annihilate capital ships and cruisers.  Slow, but offers unparalleled assault bombing capability."

371, "The Ursa is the first bomber designed specifically for the purpose of annihilating capital ships.  It carries a massive payload and is the only bomber in the GTA which can equip the Harbinger bomb.  Strong shielding and hull make the Ursa very difficult to destroy."

372, "The Amazon is a simple drone, used for basic combat training.  They are unmanned, and carry only the weakest of weaponry."

373, "The Advanced Amazon is a larger drone, used by the GTA for subsystem and large target training.  They are unmanned and inexpensive."

374, "The Centaur support ship is designed to get in and out of battle as quickly as possible.  It is fast and quite maneuverable, allowing it to dock with fighters in a minimum amount of time.  Most notable about the Centaur, however, is its extremely large explosion radius.  The amount of warheads carried on a support ship makes it very dangerous to be close to an exploding Centaur."

375, "Since the start of space colonization, this standard transport has been used by everyone, both civilian and military.  While it has undergone minor changes time and again, it remains a simple design: a vehicle meant to transport personnel from one place to another."

376, "Tactical Transport"

377, "Very Heavy"

378, "Kallisti Corporation"

379, "Designed for tactical delivery of troops to enemy positions.  Low maneuverability offset by high armor rating and max velocity."

380, "The GTT Hunter was designed by GTI for surgical strike purposes requiring small squads of highly-trained marines.  Faster, smaller, and more heavily armed than the Elysium, it is capable of performing limited offensive roles in addition to carrying soldiers and cargo.  The GTI primarily uses these ships to deposit small teams of special forces units to soften up the enemy in preparation for larger assaults by conventional boarding parties."

381, "The Poseidon is the standard military freighter in the GTA.  It is designed to protect its cargo from any kind of attack, and has four turrets with which to do so."

382, "The TC 2 is the standard issue cargo container in the GTA for deep space cargo transport.  It has all the electronics and systems needed to preserve any cargo within it at whatever conditions are necessary.  TC 2s are cheap to manufacture and are heavily used throughout the Alliance."

383, "The TSC 2 was developed when Terran Command decided it needed a stronger and more secure cargo container for use in military operations.  It improves on the established TC 2 design by sacrificing a small amount of internal space for a significantly stronger hull.  Although it is still not as strong as the TAC 1, the TSC 2 is usually the GTA's container of choice for cargo with military value."

384, "The TTC 1 is another example of civilian equipment used by the GTA League of Defense.  It is primarily a tech container used for research purposes, especially zero-G development operations.  It is not very strong, however, and is often a target of enemy attacks."

385, "The Chronos is a freighter of civilian design.  As the Terran-Vasudan war dragged on, more and more of these vessels were commissioned by the GTA for use in military operations.  These vessels are slow but strong."

386, "The TAC 1 (called the TacOne by most pilots) is a heavily armored container, usually used for carrying volatile or dangerous substances.  It is also the preferred supply container for use in front-line operations."

387, "The mainstay of the Terran fleet, these vessels have served in both strike and defense purposes.  From bow to stern a Fenris measures 260 meters.  With a full array of weapon systems and a strong enough hull to withstand the strongest enemy warheads, a Fenris cruiser can be found in almost any system that the GTA is operating in.  The Fenris was originally designed as a strike weapon, hence its fast speed and decent turning rate.  It was later decided that a second line of cruisers would be produced, for defensive purposes, once it became apparent that the T-V war wouldn't be over in a few months."

388, "After the Vasudans began making incursions into GTA space, Command decided that it needed a new defensive cruiser.  Changes to the Fenris led to the GTC Leviathan line of cruisers, produced as mobile defense battleships.  Their speed and maneuverability were greatly reduced in tradeoff for more powerful weapons and a stronger hull.  Production was discontinued when the GTA thought they would win the Vasudan war after the Battle of Gulnara, and then production was started up again after the defeat at the Talania system.  Because of the on-again off-again nature of this vessel's production, almost all Leviathan cruisers have different armaments, but all have consistent hulls and speeds."

389, "The Faustus science vessel was, and still is, a civilian craft.  However, in the fourteen years since the Terran-Vasudan war began, more and more of these were commissioned by the GTA in order to pursue military research.  Its obvious value, poor fighting capabilities, and lack of speed make it a prime target for enemy ships, hence, you will rarely find many of these anywhere near the front lines of battle."

390, "The standard Terran Probe is an all-purpose instrument that can be used in a variety of situations.  They are found in missions ranging from unmanned exploration of new systems, to scientific observation of interesting areas of space, to surveying of patrol routes or suspected enemy positions.  In a pinch, they can be deployed as communications buoys or as couriers for important messages or scientific data.  Their great speed and small size make them useful in battle situations where the enemy will most probably give them a low target priority."

391, "The GTD Hades is a new class of Terran destroyer constructed under the authority of the GTI.  Not much is known of its design or purpose, but it appears to be an attempt to recreate the SD Lucifer.  All available data on the Hades has been highly classified by Terran Command.

The Hades should be considered more dangerous than a class A threat."

392, "Early Terran space stations were constructed much smaller, and were mostly used for zero-G research purposes.  Later on, with advancements in space construction technologies, stations grew bigger and bigger.  When the first Arcadia-class station was commissioned, GTA decided to reclassify it as an installation rather than a space station.  Used for a variety of purposes, almost all major systems are home to at least one installation, which is often used as the center of trade and communications.  Home to scores of small ships, including repair vessels, fighters, and transports, an Arcadia-class installation is always a safe haven for a convoy of attack ships, returning from battle.  Where the Orion is the symbol of Terran power, the Arcadia is the shining beacon of stability."

393, "The GTI Polaris is the GTA's standard drydock facility.  A network of Polaris modules allows construction and maintenance of nearly any Terran ship in service.  The drydock's modular design allows inexpensive replacement of damaged sections should one of these facilities come under attack."

394, "Asteroid bases such as these are used by both civilian and military contractors to mine resources and conduct experiments."

395, "The Terran NavBuoy is widely used in both civilian and military fields.  It stores precalculated jump coordinates and other navigational data for use by Terran convoys, and it is also capable of acting as a communications relay."

396, "The Watchdog is the standard unmanned defensive sentry turret for the GTA.  It fires two standard plasma bursts at any nearby hostile targets."

397, "The Cerberus is an advanced version of the Watchdog, with stronger weaponry and the ability to withstand more damage."

398, "The Hermes escape pod has been used since the destruction of the GTD Goliath over twelve years ago.  They are used by the crews of destroyers and installations to escape destruction.  It is always best to be prepared."

399, "Mekhu/Triton"

400, "Excellent all-around fighter.  Offers superior maneuverability and a high top speed.  Smaller missile payload than other PVN fighters."

401, "Developed in a joint operation by the Vasudan and Terran governments, the PVF Ulysses is an excellent all-around fighter.  It offers superior maneuverability and a high top speed.

The PVF Ulysses is nearly identical to the GTF Ulysses, except that the Vasudan variant can accommodate Vasudan pilots in its cockpit."

402, "Light Skirmish"

403, "Mekhu Enterprises"

404, "Lowest power Vasudan craft.  Offers little in the way of offensive or defensive capabilities.  Best used in swarm situations."

405, "The Anubis is the weakest fighter in the Vasudan navy.  However, these fighters are extremely cheap to manufacture, and are often used in swarm situations to try to overwhelm the opponent with numbers.  A few radical Vasudans have been known to load these ships with explosives and attempt to steer themselves into GTA capital ships.  The first occurrence of this was the battle of Rexias IV, where the GTD Goliath was destroyed by a squadron of kamikaze pilots.

Due to its lack of afterburners and low weapon capacity, the GTA has classified the Anubis as a class D threat."

406, "Heavy Fighter"

407, "Slow and sluggish, but heavily armored.  Has high afterburner speed.  Useful for hit and run attacks.  High payload capacity."

408, "As the slowest fighter in the PVN, the Seth has earned itself a reputation as the turtle of the Vasudan fleet.  Even though it is quite compact in size, the Seth can carry a massive payload and has a lot of shielding.  Its standard impulse engines aren't very powerful, but the Seth gains an incredible speed boost when using its afterburners.  The Seth is primarily used in convoy attacks and capital ship escort duties.

The GTA considers the PVF Seth to be a class C threat."

409, "Very Good"

410, "Akheton Corporation"

411, "Extremely fast with good weapons compatibility.  Very useful in any kind of engagement."

412, "The Horus interceptor can outrun any ship in the PVN or the GTA.  This makes it extremely dangerous.  Its above average weapons capacity, combined with its good maneuverability and shielding, make this one of the most well-designed interceptors in the galaxy.  This ship is responsible for the destruction of more GTA bombers than any other.

As a C class threat, Horus interceptors should be dealt with as quickly as possible."

413, "Sahr Corporation"

414, "Excellent fighter.  Small and hard to hit, with speed and maneuverability to match.  Good payload makes it the most versatile fighter in the PVN."

415, "The Thoth is the most dangerous ship to be created by the PVN.  Manufactured solely at the Altairian Ship Yards, the Thoth has only been produced in small numbers as of yet.  When the Altairian Yards defected to the Hammer of Light, the production of Thoths by the PVN dropped to nil.  The Thoth is now completely in the hands of the Hammer of Light.

What makes the Thoth so versatile is its small size, extremely high maneuverability, and advanced weapon systems.  In the hands of a skilled pilot, it is extremely difficult to hit.  The design for the Thoth was simultaneous with the design for the Ulysses, and these two ships were designed by some of the same technicians.  Thus they are quite a match for our Ulysses-class fighters.  This is why they are considered a B class threat.  Any non-registered Thoths should be destroyed immediately, and their presence reported upon completion of the mission."

416, "Bomber"

417, "Low maneuverability and low top speed.  However, carries good payload including space bombs.  Most commonly used in cruiser strikes."

418, "The Osiris has now become the standard bomber for use in PVN operations.  It has replaced the Amun, correcting many of the faults of its predecessor.  It is not quite as sturdy, but it has nearly the same weapons capacity, and is faster and more maneuverable.

The Osiris should be considered a C class threat to Fenris cruisers and a D class threat otherwise."

419, "Lowest maneuverability and extremely low top speed.  Moving target, but the heaviest bomber in the PVN.  Used against capital ships."

420, "The Amun is the Vasudans' heaviest bomber class ship.  It carries a massive payload and has been responsible for the destruction of at least three Orion-class destroyers in the past two years.  Fortunately, it is slow and has low maneuverability, making it an easy target for our fighters.  Fighter pilots should be wary of the two turrets on this ship: they are not to be ignored.

The Amun is considered a B class threat to all cruisers and capital ships.  They should be given top priority in target selection during escort operations."

421, "Hammer of Light"

422, "Vasudan-Shivan hybrid.  Fast and powerful."

423, "The PVB Sekhmet is a Hammer of Light ship that appears to be a fusion of Vasudan and Shivan technology.  The Hammer of Light claims that its design was adapted from a new class of Shivan bomber heretofore unencountered by either the GTA or the PVN.

Sporting four primary weapon hardpoints and three missile bays, the Sekhmet packs a massive punch.  Treat it as a class A threat to all allied capital ships."

424, "The Jackal is a simple training and reconnaissance drone used by the PVN.  As the Jackal could be mass-produced quickly and cheaply, it was not long before the Vasudans used it as a template for the PVF Anubis, a piloted variant well suited for use as a swarm fighter.

The Jackal has never been used offensively against the GTA and is classified as a non-threat."

425, "The Scarab is very similar to our Centaur, and we believe the Vasudans stole the design of this ship from us.  It is used for in-flight rearming of fighters and bombers.  In longer engagements, these ships can mean the difference between victory and defeat.  The major difference between this ship and the Centaur is that the Scarab is unmanned."

426, "The Isis transport is quite fast and maneuverable for a ship of its size.  Most often it is used for personnel transfer, although occasionally this class has been known to act as a repair ship or tugboat.  It is well protected with its turrets, and it is not unheard of for the PVN to use a wing of Isises to conduct an assault on a fortified position."

427, "The Bast freighter is unarmed, and considered a non-threat.  We believe that it is mainly used by Vasudan civilians, but we have seen some in front line operations.  It has very low target value, but should be destroyed, as any kind of resupply ship is a danger to the GTA."

428, "The standard Vasudan cargo container is only slightly different from our own.  The primary difference is that the Vasudan cargo containers are capable of atmospheric as well as deep-space deployment.  Vasudans used cargo containers well before we did, as they needed to transport raw materials from other systems to their own barren world.  Our standard cargo container was modelled after theirs, although ours is slightly superior in durability."

429, "With three turrets, the Ma'at is a hairy target for GTA pilots to attack.  However, it is slow enough that it can be destroyed with enough patience.  As always, supply ships for the PVN are considered to be valid targets."

430, "The VAC 4 series of cargo containers is much like its normal counterpart, except it has much more plating.  However, this container is no more dangerous than the standard version, and is nothing more than ML-16 bait without protection of some kind."

431, "The dreaded Satis freighter was thought to be a warship when it was first encountered in the Aldebaran Encounter.  It has five turrets and a strong hull, making it quite dangerous to the inexperienced pilot.  However, most experienced pilots in the GTA know enough to attack the Satis' main weakness: its weak plating around the turrets.  Disarming a Satis is most often the best way to destroy it.

While capturing supply ships is often an intelligent plan, the Satis has been considered dangerous enough to rank as a class C threat.  Treat it as one."

432, "The Aten-class cruiser, while far stronger than most of the Vasudans' warships, falls short as a attack cruiser.  It does not have the armor or the firepower to stand up to GTA weaponry.  With a cruiser speed of 25 m/s and only six weapon turrets, the Aten just cannot muster the kind of firepower needed to do real damage to targets of size.  Most GTA pilots have learned to exploit the primary weakness of the Aten: its extremely weak weapons subsystem.

The Aten-class cruiser is considered by the GTA to be a class B threat."

433, "The PVSC Imhotep is the standard Vasudan research vessel.  Like our GTSC Faustus, the Imhotep can fill a variety of scientific roles, including performing on-board research and conducting sensor surveys.  One major difference between the two classes is that the Imhotep carries a small podbay housing four remote research pods.  These pods are frequently launched to augment the Imhotep's on-board systems."

434, "This large probe is more of a fully-fledged research pod than a simple drone.  Designed to work in collaboration with an Imhotep science cruiser or as part of team of probes, it is capable of numerous roles including observation, experimentation, and scientific analysis.  It is often possible for a wing of probes to conduct minor missions independent of outside supervision, allowing Vasudan Command to reserve their Imhoteps for deployment where the personal presence of scientists is most needed."

435, "Where the Aten cruiser failed, the Typhon succeeded well past expectations.  The Typhon is an incredible work of engineering and the model of Vasudan technology.  When the first one was sighted at the Vega Engagement, it was laughed at by our technicians as a foolish display of non-utilitarian design.  The subsequent destruction of the GTD Eisenhower and the obliteration of the 4th Fleet changed their minds very quickly.  The Typhon should never be underestimated.  It wields massive weaponry, and has more armor plating than any Terran destroyer.  Its only known weakness is its turret armor, which is significant, but lower than expected.  In the two years since this ship first appeared, we have only managed to destroy two of them.

The Typhon is considered a class A threat to any ships within the same system.  Do not engage without backup."

436, "The gargantuan Karnak installation is the Vasudans' answer to the GTI Arcadia.  This monstrous facility bristles with dozens of turrets and can house up to two full squadrons of fighters.  Its primary purpose is to serve as a construction and maintenance yard for the Vasudan fleets.

Because of its enormous logistical and strategic value, the Karnak is considered a class A threat."

437, "The PVI Shah is nearly identical to our GTI Polaris, despite the fact that they were designed separately.  Like the Polaris, the Shah serves as a construction and maintenance facility."

438, "The Vasudan NavBuoy is widely used in both civilian and military fields.  It stores precalculated jump coordinates and other navigational data for use by Vasudan convoys, and it is also capable of acting as a communications relay."

439, "The Ankh is the standard Vasudan sentry gun.  Its most common usage is guarding supply depots.  However, since the development of the Anubis, its usage has dropped off significantly."

440, "The Ra has been used by Vasudans since our first encounter with them.  Every Vasudan capital ship has a few of these lifeboats."

441, "The Shivan Dragon is easily the most impressive fightercraft we have yet seen.  Its maneuverability is unmatched, and it has quite a few other advantages, including a good top speed, powerful afterburners, and strong shields.  It is the only Shivan fighter we have been able to study up close, and we have learned a great deal about Shivan engineering from it.

